matchStatus	name	matchedBuffIds	matchedOfficialTechnicIds	parsedStats	unparsedNotes	equipmentNames	info	sourcePage	sourceFile
matched	アイドル ステージ	technic-8251	8251		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	アイドル ステージ	専用ステージで歌い出す 専用技『 アイドル ソング 』が使用できる 待機モーション変化	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	アイドルの卵	technic-12219	12219	音楽:スキル+10 / ダンス:スキル+10 / ST自然回復/分41.25/min	条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます	ダイアロス ダイナー ウィッグ / ダイアロス ダイナー パンツ / ダイアロス ダイナー ウェア / ダイアロス ダイナー エプロン / ダイアロス ダイナー キャップ / ダイアロス ダイナー イヤリング / パフスリーブ ウェア	スタミナの自然回復速度が上昇し、音楽とダンスの効果が上昇する ※WarAgeでは効果がない 専用技『 ハッスル ソング 』が使用できる 1分間にSTが41.25回復する 音楽とダンステクニックの効果がスキル+10相当される 音楽効果アップの併用関係は アイテム/追加効果/併用#音楽 を参照 ダンス効果アップの併用関係は アイテム/追加効果/併用#ダンス を参照	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	アイドル モーション	technic-6382	6382		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	ハンド マイク	待機モーションが変化する 待機モーションがアイドルの歌唱しているモーションになる	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	愛の神	technic-13390	13390	HP自然回復/分112.5/min	条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます	キューピッド ウイング	愛の神の力でHPの自然回復速度とペットの取得経験値を大幅に上昇させる ※WarAgeでは効果がない 1分間にHPが112.5回復する、ペットの成長率を1.2倍にする 詳しくは「 ペット#y66d9c48 」ページを参照	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	愛のキューピット	technic-8312	8312		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	キューピット ボウ	愛の力で命中率が10%上昇する ※WarAgeでは効果が無い 専用技『ラブ ショット』が使用可能になる 専用技「ラブ ショット」の前提条件。	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	愛の告白	technic-13392	13392		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	本命チョコ	専用技『 Ｃ.Ｏ.Ｌ 』が使用可能になる	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	愛の女神	technic-9151	9151		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	ケストス・ヒマス / ブリーシンガメン / セイクリッド ヘッドドレス	愛の力が身に着けた者の最大HPを上昇させて、ペットの取得経験値を少し上昇させる ※WarAgeでは効果が無い 最大HP5%上昇 ペットの成長率を1.1倍にする 愛玩とは併用不可 不具合だった模様、190409定期メンテにて修正、併用可 詳しくは「 ペット#y66d9c48 」ページを参照	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	愛らしい瞳	technic-3358	3358		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	マメポメ	愛らしい瞳に見つめられた敵は攻撃の手を緩めてしまう 物理ダメージを3%軽減する。全抵抗+3 結界陣、ダメージ軽減とは併用不可。	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	赤い靴	technic-8781	8781	ダンス:スキル+20		赤い靴	ダンスの効果が上昇するが、スタミナの自然回復が停止する ライブの回復量が+20～25%程度上昇する。ウェーブの命中上昇量は効果なし。 レッツ・バンザイは未検証。 テクニック発動時ではなく、効果の発生時（回復発生時）に装備Buffが点灯していないと効果がない。 ダンステクニックの効果がスキル+20相当される ダンス効果アップの併用関係は アイテム/追加効果/併用#ダンス を参照	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	アクエリアスの軌跡	technic-9655	9655		数値効果を自動抽出できませんでした	アクエリアス ブーツ	魔力が3%上昇して、足跡にみずがめ座のマークが表示される ※WarAgeでは効果がない	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	悪魔のゴブレット	technic-8089	8089		数値効果を自動抽出できませんでした	悪魔のゴブレット	魔力と詠唱移動速度が上昇し、喉の渇きを軽減するが、消費MPが1.2倍に増加する ※WarAgeでは効果が無い 魔力 +**	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	悪魔の書	technic-8687	8687		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	悪魔の書	ダメージを受けた際にランダムでスカルパスナイトを召喚する 専用技『 サモン スカルパスナイト 』で任意に召喚することもできる ※WarAgeでは効果が無い	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	悪魔の力	technic-13042	13042	魔力%3% / 暗黒命令:スキル+10 / 死の魔法:スキル+10		悪魔の仮面 / ダークサイド ハンド / デビル ウイング イヤー	魔力と死の魔法と暗黒命令の効果が上昇する ※WarAgeでは効果がない 魔力+3%、死の魔法と暗黒命令テクニックの効果がスキル+10相当される 死の魔法効果アップの併用関係は アイテム/追加効果/併用#死の魔法 を参照 暗黒命令効果アップの併用関係は アイテム/追加効果/併用#暗黒命令 を参照	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	悪魔の取引	technic-5997	5997		数値効果を自動抽出できませんでした	デビル チャーリー	スタミナの自然回復量を代価にMP自然回復量をUPさせる 1分間のMP自然回復量が約21増加し、ST自然回復量が約21減少する。 闇の加護とは併用可能。	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	悪魔の瞳	technic-10937	10937	強化魔法:スキル+10	条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます	デビルアイ	命中率と強化魔法の効果を上昇させる 専用技『 インファント カーズ 』が使用可能になる ※WarAgeでは効果がない ※秘伝の書を入手するには『 デビルアイ 』を装備した状態でメモリーズボックスを右クリックしてください。 強化魔法テクニックの効果がスキル+10相当される 強化魔法効果アップの併用関係は アイテム/追加効果/併用#強化魔法 を参照	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	悪魔憑依	technic-6486	6486		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	呪われたペンダント	映画「エクソシスト」のスパイダー・ウォークに似た移動モーションになる	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	アシスティブ デバイス	technic-5164	5164		数値効果を自動抽出できませんでした	メカニカル ブーツ	キックの攻撃力とジャンプ力が少しアップする キック技のダメージが約3～7%程度アップする	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	あした天気にしておくれ	technic-9881	9881		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	てるてる坊主	待機と移動モーションが変化し、落下速度とダメージを軽減する ※WarAgeでは効果がない	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	悪鬼羅刹	technic-13081	13081		数値効果を自動抽出できませんでした	オーガ ウィッグ / 背負い鬼神の戦斧	物理ダメージと魔法ダメージの威力が少しずつ上昇して、所持可能重量が増加 ※WarAgeでは効果がない 最大所持重量1.15倍 攻撃力、魔力やスキル効果が上昇するわけではなくダメージそのものが約5%増加する。 採集にも効果がある 効果対象の詳細は 物理攻撃ダメージアップ 及び 魔法攻撃ダメージアップ を参照 物理攻撃ダメージアップ(物理与ダメージ増加バフ)の併用関係は アイテム/追加効果/併用2#物理攻撃ダメージアップ(物理与ダメージ増加バフ) を参照 魔法攻撃ダメージアップ(魔法与ダメージ増加バフ)の併用関係は アイテム/追加効果/併用2#魔法攻撃ダメージアップ(魔法与ダメージ増加バフ) を参照	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	アドベンチャー ソウル	technic-8135	8135		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	アドベンチャー バンダナ / アドベンチャー バンダナ カラー	採掘の命中率が上昇し、落下ダメージを 軽減し、盗みの技ディレイが少し短縮される 落下ダメージ軽減25% 盗みディレイ短縮10% ※種別を特定するディレイ・詠唱短縮効果は最新の各1つのみ、また詠唱速度短縮は全体が優先で最新の１つのみ。 詳しくは アイテム/追加効果/検証 を参照	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	アドベント エンジェル	technic-5812	5812	速度2	条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます	ホーリー レクィエル リング	浮遊しながら移動することができる 移動モーションが少し宙に浮くようになる 弱いライト効果あり。移動速度+2	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	穴掘り名人	technic-10201	10201		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	モグラの着ぐるみ	採掘の命中率が上昇し、専用技『 ディグホール 』が使用可能になる ※秘伝の書を入手するには『 モグラの着ぐるみ 』を装備した状態でメモリーズボックスを右クリックしてください。	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	アナリティクス	technic-10370	10370	回避%10% / 回避1	条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます	サイバー グラス	敵の行動パターンを分析することで自分の命中と回避率を上げ、専用技『 ウィークネス アナライズ 』が使用可能になる ※WarAgeでは効果がない ※秘伝の書を入手するには『 サイバー グラス 』を装備した状態でメモリーズボックスを右クリックしてください。 命中回避+10%	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	アニマル コミュニケーション	technic-10510	10510	速度5	条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます	プリティー イヤー カチューシャ / インナーカラー アニマル ウィッグ / ケモミミ スタイル ウィッグ / ピアス付きケモミミ / ウマ耳キャップ	特殊な耳の効果で動物の声が聞こえて動物と意思の疎通ができる ※ペットの取得経験値と移動速度が少し上昇する ※移動速度上昇の効果はWarAgeでは効果がない ※WarAgeでは効果がない ペットの成長率を1.1倍にする 詳しくは「 ペット#y66d9c48 」ページを参照 移動速度+5(※ペットの移動速度ではない)	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	アニマル チャーム	technic-13284	13284		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	アニマル・ファーエプロン	動物も魅了する魅惑のもふもふ感 ※ペットの取得経験値が大幅に上昇する ペットの成長率を1.2倍にする 詳しくは「 ペット#y66d9c48 」ページを参照	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	アニマル ドライブ	technic-6177	6177		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	アニマル カー(クマ) / アニマル カー(パンダ)	どこか懐かしい乗り物に乗ることができる 安全面からゆっくりと移動します ※効果中はテクニックを使用することができません 動物の乗り物に騎乗するモーションになる	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	アニマル フレンズ	technic-12207	12207	調教:スキル+10	条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます	ウサギのぬいぐるみヘッド / アニマル イヤー ケープ / ウサギのフード付きマフラー / ハロウィン アニマル フード	動物達と心を通わせることで仲良くなれる ※ペットの取得経験値と調教スキルの効果が上昇する ペットの成長率を1.1倍にする 詳しくは「 ペット#y66d9c48 」ページを参照 調教テクニックの効果がスキル+10相当される 調教効果アップの併用関係は アイテム/追加効果/併用#調教 を参照	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	アニマル ラヴァー	technic-10678	10678	調教:スキル+10	条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます	アニマル カンカン帽 / アニマル イヤー ヘッドバンド / キャット ショルダーバッグ	調教スキルの効果とペットの取得経験値が少し上昇する ※愛玩の効果を上書きする ペットの成長率を1.1倍にする 詳しくは「 ペット#y66d9c48 」ページを参照 調教テクニックの効果がスキル+10相当される 調教効果アップの併用関係は アイテム/追加効果/併用#調教 を参照	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	アヌビスの力	technic-11780	11780	死の魔法:スキル+10	条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます	アヌビス サイス	死の魔法の効果が上昇し、アイテムの使用ディレイ短縮される 専用技『 冥界送り 』が使用可能になる ※秘伝の書を入手するには『 アヌビス サイス 』を装備した状態でメモリーズボックスを右クリックしてください。 死の魔法テクニックの効果がスキル+10相当される 死の魔法効果アップの併用関係は アイテム/追加効果/併用#死の魔法 を参照 アイテム使用ディレイ及びアイテム使用速度(包帯巻き速度など)-15% アイテム使用ディレイ短縮効果は1つのみ有効	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	アビス	technic-5559	5559	魔力%3%		アビスリンカー マジックサークル	夜の間だけ能力が上昇する 22:00～3:59の間のみ魔力 +3%・最大ＭＰ +5% 属性鍵束系buff、ウィザードリィ ローブ(MAGIC 3%UP)と併用可能	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	アブダクション	technic-4344	4344		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	アブダクション オブジェクト	誘拐されそうになっている。 モーション変化。	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	アフタヌーン・ティー	technic-8318	8318		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	ティーカップ	待機モーションが椅子に座るモーションに変化して、MPの自然回復速度が上昇する ※WarAgeでは効果が無い 待機モーションが椅子に座りお茶を飲むモーションに変化するが、そのままだと空気椅子にしか見えない。 1分間にMPが約113回復、移動行動不可。 闇の加護、キャンプ、蓑であったか等の自然回復上昇系Buffとの併用可能。 本Buffはロイヤルアフタヌーンセット同梱の複合技「 ロイヤルアフタヌーン （召喚下僕ロイヤルアフタヌーン）」が無くとも 単体で上記の効果を発揮するが、ロイヤルアフタヌーンと組み合わせる（一定範囲内（要検証）で本Buff点灯）と追加で Buff「 午後のひととき 」が点灯する（他人が召喚したものでも点灯可能）。	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	溢れる妖気	technic-10511	10511		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	妖刀の鞘	装備部位 腰（装）あふれ出る妖気の影響で攻撃力が上昇するがマナが徐々に減少する ※WarAgeでは効果がない 攻撃力が3%上昇する。 MPに秒間7.3の強いスリップダメージ、コンデでも全く打ち消せないため魔法はまず打てなくなる	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	復讐姫 (アヴェンジャー)	technic-12614	12614		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	アイズ・ヴァレンシュタイン なりきりウィッグ( カラー) / アイズ・ヴァレンシュタイン なりきりアームガード( カラー) / アイズ・ヴァレンシュタイン なりきりアーマー( カラー) / アイズ・ヴァレンシュタイン なりきりブーツ( カラー) / アイズ・ヴァレンシュタイン なりきりデスペレート( カラー) / アイズ・ヴァレンシュタイン なりきりヘッドガード カラー( カラー)	攻撃力が大幅に上昇して、ドラゴン系に特攻効果を得る ※WarAgeでは効果がない ドラゴン系敵mobへの攻撃時atk1.5倍または魔法ダメージ1.5倍増加及び味方petへの回復量1.5倍増加 対象は 効果アップ(特攻) を参照	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	甘い誘惑	technic-7749	7749		数値効果を自動抽出できませんでした	マカロン ベッド	あまーいお菓子に挟まれて夢心地で自然回復速度が上昇する ※WarAgeでは効果が無い 1分間にHP/ST/MPそれぞれ112回復、移動行動不可。	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	あめあめふれふれ	technic-11379	11379		数値効果を自動抽出できませんでした	ケロケロ チャーリー	自分の周囲だけ何故か激しい雨が降る 雨のおかげで耐火属性が上昇する	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	アラビアン ダンサー	technic-13044	13044	回避%10% / 回避1 / ダンス:スキル+20		アラビアン ウィッグ / アラビアン ロインクロス	ダンスの効果と回避率が上昇して、スタミナの消費が軽減される ※WarAgeでは効果がない 回避+10%、ST消費10%軽減、ダンステクニックの効果がスキル+20相当される ダンス効果アップの併用関係は アイテム/追加効果/併用#ダンス を参照	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	アルカナの加護	technic-9519	9519	魔力%3%		魔法のタロット / アルカナム シールド / ジプシー ターバン	魔力と呪文抵抗力を上昇させる ※WarAgeでは効果がない 魔力+3%、呪文抵抗力+10%	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
multiple	歩きモーション変化	technic-1334,technic-1327	1334,1327		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	スカウト チュニック +1～	走りモーションが変化する 銃器エイム ファイアーのしゃがみ撃ちの姿勢	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	暗器の鉤爪	technic-12871	12871	罠:スキル+15 / 物まね:スキル+15		忍びの手甲鉤	物まねと罠スキルの効果が15上昇し、鉤爪に塗られた毒で通常攻撃時に追加ダメージを与える ※WarAgeでは効果がない 遠距離のアタックでも追加ダメージは発生するが、発生する距離が約6m程度 追加ダメージは罠依存、罠0で16～18x3、罠100で39～41x3 毒のため即時追加ダメージではないため、 短期間にアタックしまくるとダメージが発生する前に毒のdotを上書きしてしまうことに注意 半減レジストあり 物まねと罠テクニックの効果がスキル+15相当される 物まね効果アップの併用関係は アイテム/追加効果/併用#物まね を参照	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	闇光の輪	technic-8686	8686		数値効果を自動抽出できませんでした	フォーリンエンジェル リング	技や魔法を使用した際のSTとMPの消費を5%軽減する ※WarAgeでは効果が無い	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	行脚修行	technic-3275	3275		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	虚無僧の草履	移動詠唱の速度が速くなるが、詠唱妨害を受けやすくなる 魔法熟練キャスティングムーブとは併用不可。(キャスティングムーブが常に優先される)	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	アンクの加護	technic-7063	7063		数値効果を自動抽出できませんでした	アンクのペンダント	アンクの力を信じる者は一度だけ生き返ることができるらしい 死魔法リボーンワンスと同様の効果、蘇生すると使用回数が1減る(着脱では減少しない)。	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	暗黒障壁	technic-13093	13093		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	ダークマター イヤリング / ダークマター リング	20%の確率で魔法を反射する ※WarAgeでは効果がない	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	暗殺者	technic-10682	10682	物まね:スキル+10		アカツキなりきり～ / アサシン ホルスター ベルト / 暗殺者の半仮面	クリティカル率と物まねの効果が上昇する ※WarAgeでは効果がない クリティカル率上昇+15% 併用関係は アイテム/追加効果/併用2#クリティカル率 を参照 物まねテクニックの効果がスキル+10相当される 物まね効果アップの併用関係は アイテム/追加効果/併用#物まね を参照	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	暗殺術	technic-9604	9604		数値効果を自動抽出できませんでした	くノ一 ウィッグ / 暗殺者の仮面	足音を消し、命中とクリティカル率が上昇する ※WarAgeでは効果がない 命中10%UP クリティカル率上昇+15% 併用関係は アイテム/追加効果/併用2#クリティカル率 を参照	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	安全運転	technic-7246	7246	速度15		ノア スクーター	ノアストーンの力で浮遊することができる乗り物 安全設定の為、低空飛行でスピードも抑えられている 移動速度+15.0	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	安全第一	technic-4041	4041		数値効果を自動抽出できませんでした	ゴーグル付ヘルメット / セーフティ ヘルメット / ワーク ヘルメット	ダメージを軽減し 頭上からの衝撃に備える ※WarAgeではダメージ軽減効果が無い 物理ダメージを5%軽減。 タライ落としや岩石落とし等の頭上からの落下物を無効化する。	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	アンチマジック	technic-8843	8843		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	マジックサークル ブレスレット	魔法ダメージを軽減して、時々魔法を跳ね返す ※WarAgeでは効果が無い 全耐性+20 反射率は約15%程度	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	いい湯だな♪	technic-6858	6858		数値効果を自動抽出できませんでした	ドラム缶風呂	疲労回復と体の汚れを洗い流す効果がある 1分間のST自然回復量が約56増加する。	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	育成アプリ	technic-10213	10213		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	メダロッチ	ペットウィンドウに取得経験値が表示されるようになる ※WarAgeでは効果がない	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	急いでブレックファースト	technic-3268	3268		数値効果を自動抽出できませんでした	こんがり トースト / エッグ トースト / チーズ トースト / ジャム トースト	満腹度の減少を和らげる効果 アイコンが謎肉	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
matched	韋駄天	technic-7801	7801	速度10	条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます	オルヴァン ライダー	オルヴァンに騎乗しているような感覚で高速移動ができる ※WarAgeでは効果が無い 移動速度+10、移動モーション変化	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm
