enabled	verified	applyDefault	officialTechnicId	catalogId	name	conflictGroup	stackRule	attack	attackPct	magic	magicPct	speed	speedPct	dmgPct	extraAC	extraACPct	extraHP	extraHPPct	extraMP	extraMPPct	extraST	extraSTPct	extraMaxWeight	extraMaxWeightPct	extraHit	extraHitPct	extraAvoid	extraAvoidPct	extraAttackDelay	extraAttackDelayPct	extraMagicDelay	extraMagicDelayPct	extraFireRes	extraFireResPct	extraWaterRes	extraWaterResPct	extraEarthRes	extraEarthResPct	extraWindRes	extraWindResPct	extraNeutralRes	extraNeutralResPct	extraDamageReducePct	extraCritRatePct	extraBreath	extraHearing	extraSeeing	extraSmelling	extraFullness	extraThirst	extraSteal	extraLockpickingFail	extraFangAttack	extraFishingGaugeLength	extraFishingHitZone	extraSmithingGradeZone	extraSmithingGaugeSlip	extraSmithingHitZone	extraCarpentryGradeZone	extraCarpentryGaugeSlip	extraCarpentryHitZone	extraTailoringGradeZone	extraTailoringGaugeSlip	extraTailoringHitZone	extraDecorationGradeZone	extraDecorationGaugeSlip	extraDecorationHitZone	extraCookingGradeZone	extraCookingGaugeSlip	extraCookingHitZone	extraBrewingGradeZone	extraBrewingGaugeSlip	extraBrewingHitZone	extraAlchemyGradeZone	extraAlchemyGaugeSlip	extraAlchemyHitZone	extraReplicationGradeZone	extraReplicationGaugeSlip	extraReplicationHitZone	extraBeautyGaugeSlip	extraBeautyHitZone	hpRegenPerMinute	stRegenPerMinute	mpRegenPerMinute	stCostReducePct	mpCostReducePct	itemUseDelayPct	physicalDamageReducePct	physicalReflectPct	magicReflectPct	skillEffects	customEffects	memo	source	wikiName	matchStatus	matchedBuffIds	matchedOfficialTechnicIds	parsedStatsHint	unparsedNotes	equipmentNames	rawInfo	sourcePage	wikiId
			8251	technic-8251	アイドル ステージ	technic-8251	same-technic																																																																																							wiki-manual	アイドル ステージ	matched	technic-8251	8251		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	アイドル ステージ	専用ステージで歌い出す 専用技『 アイドル ソング 』が使用できる 待機モーション変化	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:11
			12219	technic-12219	アイドルの卵	technic-12219	same-technic																																																																												41.25											wiki-manual	アイドルの卵	matched	technic-12219	12219	スキル+:10(音楽) / スキル+:10(ダンス) / ST自然回復/分:41.25/min	条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます	ダイアロス ダイナー ウィッグ / ダイアロス ダイナー パンツ / ダイアロス ダイナー ウェア / ダイアロス ダイナー エプロン / ダイアロス ダイナー キャップ / ダイアロス ダイナー イヤリング / パフスリーブ ウェア	スタミナの自然回復速度が上昇し、音楽とダンスの効果が上昇する ※WarAgeでは効果がない 専用技『 ハッスル ソング 』が使用できる 1分間にSTが41.25回復する 音楽とダンステクニックの効果がスキル+10相当される 音楽効果アップの併用関係は アイテム/追加効果/併用#音楽 を参照 ダンス効果アップの併用関係は アイテム/追加効果/併用#ダンス を参照	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:12
			6382	technic-6382	アイドル モーション	technic-6382	same-technic																																																																																							wiki-manual	アイドル モーション	matched	technic-6382	6382		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	ハンド マイク	待機モーションが変化する 待機モーションがアイドルの歌唱しているモーションになる	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:13
			13390	technic-13390	愛の神	technic-13390	same-technic																																																																											112.5												wiki-manual	愛の神	matched	technic-13390	13390	HP自然回復/分:112.5/min	条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます	キューピッド ウイング	愛の神の力でHPの自然回復速度とペットの取得経験値を大幅に上昇させる ※WarAgeでは効果がない 1分間にHPが112.5回復する、ペットの成長率を1.2倍にする 詳しくは「 ペット#y66d9c48 」ページを参照	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:14
			8312	technic-8312	愛のキューピット	technic-8312	same-technic																																																																																							wiki-manual	愛のキューピット	matched	technic-8312	8312		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	キューピット ボウ	愛の力で命中率が10%上昇する ※WarAgeでは効果が無い 専用技『ラブ ショット』が使用可能になる 専用技「ラブ ショット」の前提条件。	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:15
			13392	technic-13392	愛の告白	technic-13392	same-technic																																																																																							wiki-manual	愛の告白	matched	technic-13392	13392		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	本命チョコ	専用技『 Ｃ.Ｏ.Ｌ 』が使用可能になる	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:16
			9151	technic-9151	愛の女神	technic-9151	same-technic																																																																																							wiki-manual	愛の女神	matched	technic-9151	9151		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	ケストス・ヒマス / ブリーシンガメン / セイクリッド ヘッドドレス	愛の力が身に着けた者の最大HPを上昇させて、ペットの取得経験値を少し上昇させる ※WarAgeでは効果が無い 最大HP5%上昇 ペットの成長率を1.1倍にする 愛玩とは併用不可 不具合だった模様、190409定期メンテにて修正、併用可 詳しくは「 ペット#y66d9c48 」ページを参照	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:17
			3358	technic-3358	愛らしい瞳	technic-3358	same-technic																																																																																							wiki-manual	愛らしい瞳	matched	technic-3358	3358		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	マメポメ	愛らしい瞳に見つめられた敵は攻撃の手を緩めてしまう 物理ダメージを3%軽減する。全抵抗+3 結界陣、ダメージ軽減とは併用不可。	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:18
			8781	technic-8781	赤い靴	technic-8781	same-technic																																																																																							wiki-manual	赤い靴	matched	technic-8781	8781	スキル+:20(ダンス)		赤い靴	ダンスの効果が上昇するが、スタミナの自然回復が停止する ライブの回復量が+20～25%程度上昇する。ウェーブの命中上昇量は効果なし。 レッツ・バンザイは未検証。 テクニック発動時ではなく、効果の発生時（回復発生時）に装備Buffが点灯していないと効果がない。 ダンステクニックの効果がスキル+20相当される ダンス効果アップの併用関係は アイテム/追加効果/併用#ダンス を参照	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:19
			9655	technic-9655	アクエリアスの軌跡	technic-9655	same-technic																																																																																							wiki-manual	アクエリアスの軌跡	matched	technic-9655	9655		数値効果を自動抽出できませんでした	アクエリアス ブーツ	魔力が3%上昇して、足跡にみずがめ座のマークが表示される ※WarAgeでは効果がない	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:20
			8089	technic-8089	悪魔のゴブレット	technic-8089	same-technic																																																																																							wiki-manual	悪魔のゴブレット	matched	technic-8089	8089		数値効果を自動抽出できませんでした	悪魔のゴブレット	魔力と詠唱移動速度が上昇し、喉の渇きを軽減するが、消費MPが1.2倍に増加する ※WarAgeでは効果が無い 魔力 +**	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:21
			8687	technic-8687	悪魔の書	technic-8687	same-technic																																																																																							wiki-manual	悪魔の書	matched	technic-8687	8687		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	悪魔の書	ダメージを受けた際にランダムでスカルパスナイトを召喚する 専用技『 サモン スカルパスナイト 』で任意に召喚することもできる ※WarAgeでは効果が無い	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:22
			13042	technic-13042	悪魔の力	technic-13042	same-technic				3																																																																																			wiki-manual	悪魔の力	matched	technic-13042	13042	魔力%:3% / スキル+:10(暗黒命令) / スキル+:10(死の魔法)		悪魔の仮面 / ダークサイド ハンド / デビル ウイング イヤー	魔力と死の魔法と暗黒命令の効果が上昇する ※WarAgeでは効果がない 魔力+3%、死の魔法と暗黒命令テクニックの効果がスキル+10相当される 死の魔法効果アップの併用関係は アイテム/追加効果/併用#死の魔法 を参照 暗黒命令効果アップの併用関係は アイテム/追加効果/併用#暗黒命令 を参照	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:23
			5997	technic-5997	悪魔の取引	technic-5997	same-technic																																																																																							wiki-manual	悪魔の取引	matched	technic-5997	5997		数値効果を自動抽出できませんでした	デビル チャーリー	スタミナの自然回復量を代価にMP自然回復量をUPさせる 1分間のMP自然回復量が約21増加し、ST自然回復量が約21減少する。 闇の加護とは併用可能。	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:24
			10937	technic-10937	悪魔の瞳	technic-10937	same-technic																																																																																							wiki-manual	悪魔の瞳	matched	technic-10937	10937	スキル+:10(強化魔法)	条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます	デビルアイ	命中率と強化魔法の効果を上昇させる 専用技『 インファント カーズ 』が使用可能になる ※WarAgeでは効果がない ※秘伝の書を入手するには『 デビルアイ 』を装備した状態でメモリーズボックスを右クリックしてください。 強化魔法テクニックの効果がスキル+10相当される 強化魔法効果アップの併用関係は アイテム/追加効果/併用#強化魔法 を参照	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:25
			6486	technic-6486	悪魔憑依	technic-6486	same-technic																																																																																							wiki-manual	悪魔憑依	matched	technic-6486	6486		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	呪われたペンダント	映画「エクソシスト」のスパイダー・ウォークに似た移動モーションになる	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:26
			5164	technic-5164	アシスティブ デバイス	technic-5164	same-technic																																																																																							wiki-manual	アシスティブ デバイス	matched	technic-5164	5164		数値効果を自動抽出できませんでした	メカニカル ブーツ	キックの攻撃力とジャンプ力が少しアップする キック技のダメージが約3～7%程度アップする	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:27
			9881	technic-9881	あした天気にしておくれ	technic-9881	same-technic																																																																																							wiki-manual	あした天気にしておくれ	matched	technic-9881	9881		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	てるてる坊主	待機と移動モーションが変化し、落下速度とダメージを軽減する ※WarAgeでは効果がない	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:28
			13081	technic-13081	悪鬼羅刹	technic-13081	same-technic																																																																																							wiki-manual	悪鬼羅刹	matched	technic-13081	13081		数値効果を自動抽出できませんでした	オーガ ウィッグ / 背負い鬼神の戦斧	物理ダメージと魔法ダメージの威力が少しずつ上昇して、所持可能重量が増加 ※WarAgeでは効果がない 最大所持重量1.15倍 攻撃力、魔力やスキル効果が上昇するわけではなくダメージそのものが約5%増加する。 採集にも効果がある 効果対象の詳細は 物理攻撃ダメージアップ 及び 魔法攻撃ダメージアップ を参照 物理攻撃ダメージアップ(物理与ダメージ増加バフ)の併用関係は アイテム/追加効果/併用2#物理攻撃ダメージアップ(物理与ダメージ増加バフ) を参照 魔法攻撃ダメージアップ(魔法与ダメージ増加バフ)の併用関係は アイテム/追加効果/併用2#魔法攻撃ダメージアップ(魔法与ダメージ増加バフ) を参照	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:29
			8135	technic-8135	アドベンチャー ソウル	technic-8135	same-technic																																																																																							wiki-manual	アドベンチャー ソウル	matched	technic-8135	8135		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	アドベンチャー バンダナ / アドベンチャー バンダナ カラー	採掘の命中率が上昇し、落下ダメージを 軽減し、盗みの技ディレイが少し短縮される 落下ダメージ軽減25% 盗みディレイ短縮10% ※種別を特定するディレイ・詠唱短縮効果は最新の各1つのみ、また詠唱速度短縮は全体が優先で最新の１つのみ。 詳しくは アイテム/追加効果/検証 を参照	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:30
			5812	technic-5812	アドベント エンジェル	technic-5812	same-technic																																																																																							wiki-manual	アドベント エンジェル	matched	technic-5812	5812	速度:2	条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます	ホーリー レクィエル リング	浮遊しながら移動することができる 移動モーションが少し宙に浮くようになる 弱いライト効果あり。移動速度+2	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:31
			10201	technic-10201	穴掘り名人	technic-10201	same-technic																																																																																							wiki-manual	穴掘り名人	matched	technic-10201	10201		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	モグラの着ぐるみ	採掘の命中率が上昇し、専用技『 ディグホール 』が使用可能になる ※秘伝の書を入手するには『 モグラの着ぐるみ 』を装備した状態でメモリーズボックスを右クリックしてください。	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:32
			10370	technic-10370	アナリティクス	technic-10370	same-technic																				1	10																																																																		wiki-manual	アナリティクス	matched	technic-10370	10370	回避%:10% / 回避:1	条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます	サイバー グラス	敵の行動パターンを分析することで自分の命中と回避率を上げ、専用技『 ウィークネス アナライズ 』が使用可能になる ※WarAgeでは効果がない ※秘伝の書を入手するには『 サイバー グラス 』を装備した状態でメモリーズボックスを右クリックしてください。 命中回避+10%	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:33
			10510	technic-10510	アニマル コミュニケーション	technic-10510	same-technic																																																																																							wiki-manual	アニマル コミュニケーション	matched	technic-10510	10510	速度:5	条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます	プリティー イヤー カチューシャ / インナーカラー アニマル ウィッグ / ケモミミ スタイル ウィッグ / ピアス付きケモミミ / ウマ耳キャップ	特殊な耳の効果で動物の声が聞こえて動物と意思の疎通ができる ※ペットの取得経験値と移動速度が少し上昇する ※移動速度上昇の効果はWarAgeでは効果がない ※WarAgeでは効果がない ペットの成長率を1.1倍にする 詳しくは「 ペット#y66d9c48 」ページを参照 移動速度+5(※ペットの移動速度ではない)	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:34
			13284	technic-13284	アニマル チャーム	technic-13284	same-technic																																																																																							wiki-manual	アニマル チャーム	matched	technic-13284	13284		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	アニマル・ファーエプロン	動物も魅了する魅惑のもふもふ感 ※ペットの取得経験値が大幅に上昇する ペットの成長率を1.2倍にする 詳しくは「 ペット#y66d9c48 」ページを参照	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:35
			6177	technic-6177	アニマル ドライブ	technic-6177	same-technic																																																																																							wiki-manual	アニマル ドライブ	matched	technic-6177	6177		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	アニマル カー(クマ) / アニマル カー(パンダ)	どこか懐かしい乗り物に乗ることができる 安全面からゆっくりと移動します ※効果中はテクニックを使用することができません 動物の乗り物に騎乗するモーションになる	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:36
			12207	technic-12207	アニマル フレンズ	technic-12207	same-technic																																																																																							wiki-manual	アニマル フレンズ	matched	technic-12207	12207	スキル+:10(調教)	条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます	ウサギのぬいぐるみヘッド / アニマル イヤー ケープ / ウサギのフード付きマフラー / ハロウィン アニマル フード	動物達と心を通わせることで仲良くなれる ※ペットの取得経験値と調教スキルの効果が上昇する ペットの成長率を1.1倍にする 詳しくは「 ペット#y66d9c48 」ページを参照 調教テクニックの効果がスキル+10相当される 調教効果アップの併用関係は アイテム/追加効果/併用#調教 を参照	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:37
			10678	technic-10678	アニマル ラヴァー	technic-10678	same-technic																																																																																							wiki-manual	アニマル ラヴァー	matched	technic-10678	10678	スキル+:10(調教)	条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます	アニマル カンカン帽 / アニマル イヤー ヘッドバンド / キャット ショルダーバッグ	調教スキルの効果とペットの取得経験値が少し上昇する ※愛玩の効果を上書きする ペットの成長率を1.1倍にする 詳しくは「 ペット#y66d9c48 」ページを参照 調教テクニックの効果がスキル+10相当される 調教効果アップの併用関係は アイテム/追加効果/併用#調教 を参照	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:38
			11780	technic-11780	アヌビスの力	technic-11780	same-technic																																																																																							wiki-manual	アヌビスの力	matched	technic-11780	11780	スキル+:10(死の魔法)	条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます	アヌビス サイス	死の魔法の効果が上昇し、アイテムの使用ディレイ短縮される 専用技『 冥界送り 』が使用可能になる ※秘伝の書を入手するには『 アヌビス サイス 』を装備した状態でメモリーズボックスを右クリックしてください。 死の魔法テクニックの効果がスキル+10相当される 死の魔法効果アップの併用関係は アイテム/追加効果/併用#死の魔法 を参照 アイテム使用ディレイ及びアイテム使用速度(包帯巻き速度など)-15% アイテム使用ディレイ短縮効果は1つのみ有効	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:39
			5559	technic-5559	アビス	technic-5559	same-technic				3																																																																																			wiki-manual	アビス	matched	technic-5559	5559	魔力%:3%		アビスリンカー マジックサークル	夜の間だけ能力が上昇する 22:00～3:59の間のみ魔力 +3%・最大ＭＰ +5% 属性鍵束系buff、ウィザードリィ ローブ(MAGIC 3%UP)と併用可能	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:40
			4344	technic-4344	アブダクション	technic-4344	same-technic																																																																																							wiki-manual	アブダクション	matched	technic-4344	4344		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	アブダクション オブジェクト	誘拐されそうになっている。 モーション変化。	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:41
			8318	technic-8318	アフタヌーン・ティー	technic-8318	same-technic																																																																																							wiki-manual	アフタヌーン・ティー	matched	technic-8318	8318		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	ティーカップ	待機モーションが椅子に座るモーションに変化して、MPの自然回復速度が上昇する ※WarAgeでは効果が無い 待機モーションが椅子に座りお茶を飲むモーションに変化するが、そのままだと空気椅子にしか見えない。 1分間にMPが約113回復、移動行動不可。 闇の加護、キャンプ、蓑であったか等の自然回復上昇系Buffとの併用可能。 本Buffはロイヤルアフタヌーンセット同梱の複合技「 ロイヤルアフタヌーン （召喚下僕ロイヤルアフタヌーン）」が無くとも 単体で上記の効果を発揮するが、ロイヤルアフタヌーンと組み合わせる（一定範囲内（要検証）で本Buff点灯）と追加で Buff「 午後のひととき 」が点灯する（他人が召喚したものでも点灯可能）。	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:42
			10511	technic-10511	溢れる妖気	technic-10511	same-technic																																																																																							wiki-manual	溢れる妖気	matched	technic-10511	10511		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	妖刀の鞘	装備部位 腰（装）あふれ出る妖気の影響で攻撃力が上昇するがマナが徐々に減少する ※WarAgeでは効果がない 攻撃力が3%上昇する。 MPに秒間7.3の強いスリップダメージ、コンデでも全く打ち消せないため魔法はまず打てなくなる	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:43
